person_id,id,name,character,role,Column1
48004,tm142564,Kareena Kapoor Khan,Pia,ACTOR,25
38636,tm142564,Boman Irani,Viru 'Virus' Sahastrabudhhe,ACTOR,25
48004,tm73058,Kareena Kapoor Khan,Walks past on red carpet (uncredited),ACTOR,25
48004,tm36475,Kareena Kapoor Khan,Pooja “Poo” Sharma Raichand,ACTOR,25
48004,tm76835,Kareena Kapoor Khan,Geet,ACTOR,25
38636,tm30170,Boman Irani,DCP DeSilva / Vardhaan,ACTOR,25
48004,tm30170,Kareena Kapoor Khan,Kamini / Sonia,ACTOR,25
48004,tm29731,Kareena Kapoor Khan,Shruti Singh Chauhan,ACTOR,25
48004,tm93004,Kareena Kapoor Khan,Mira,ACTOR,25
38636,tm88366,Boman Irani,The Principal,ACTOR,25
48004,tm156575,Kareena Kapoor Khan,Sahir Khan's Heroine,ACTOR,25
38636,tm129971,Boman Irani,Dinaz Aziz,ACTOR,25
48004,tm129971,Kareena Kapoor Khan,Herself (uncredited),ACTOR,25
38636,tm77863,Boman Irani,Oscar Fernandez,ACTOR,25
38636,tm54147,Boman Irani,M,ACTOR,25
48004,tm152724,Kareena Kapoor Khan,Avantika Ahuja,ACTOR,25
38636,tm165809,Boman Irani,Dr. Bhalerao,ACTOR,25
48004,tm31335,Kareena Kapoor Khan,Ekta Kapoor,ACTOR,25
48004,tm98475,Kareena Kapoor Khan,Shreya,ACTOR,25
38636,tm96595,Boman Irani,Karan's Father,ACTOR,25
48004,tm154375,Kareena Kapoor Khan,Raina Khanna,ACTOR,25
38636,tm27484,Boman Irani,Rajeev Batra,ACTOR,25
48004,tm91125,Kareena Kapoor Khan,Neha Mehr,ACTOR,25
38636,tm101540,Boman Irani,Arman Ali,ACTOR,25
38636,tm75544,Boman Irani,Tony Singh,ACTOR,25
38636,tm183037,Boman Irani,Vardaan,ACTOR,25
48004,tm57610,Kareena Kapoor Khan,Rosie,ACTOR,25
38636,tm44615,Boman Irani,Deboo,ACTOR,25
48004,tm59289,Kareena Kapoor Khan,"Special Appearance in ""Chinta Ta Ta Chita Chita""  song",ACTOR,25
48004,tm48239,Kareena Kapoor Khan,Riana Braganza,ACTOR,25
38636,tm48239,Boman Irani,Mr. Kapoor,ACTOR,25
38636,tm172883,Boman Irani,Op Ramsay,ACTOR,25
48004,tm174518,Kareena Kapoor Khan,Divya S. Rana,ACTOR,25
48004,tm69915,Kareena Kapoor Khan,Mahi Arora,ACTOR,25
38636,tm147913,Boman Irani,Cherry Bajwa,ACTOR,25
48004,tm167342,Kareena Kapoor Khan,Yasmin Ahmed,ACTOR,25
48004,tm178513,Kareena Kapoor Khan,Herself,ACTOR,25
48004,tm177224,Kareena Kapoor Khan,Dia Sharma,ACTOR,25
48004,tm208713,Kareena Kapoor Khan,Sunaina,ACTOR,25
48004,tm201365,Kareena Kapoor Khan,Mary,ACTOR,25
48004,tm240162,Kareena Kapoor Khan,Preet Sahani,ACTOR,25
38636,tm272854,Boman Irani,Karan Pratap Singh,ACTOR,25
38636,tm246810,Boman Irani,Santa,ACTOR,25
38636,tm366590,Boman Irani,Ruby's father / Dr. Asthana,ACTOR,25
38636,tm326704,Boman Irani,Himanshu Shukla,ACTOR,25
38636,tm366245,Boman Irani,Irfan,ACTOR,25
38636,tm494847,Boman Irani,Dr. Vardhi,ACTOR,25
38636,tm881984,Boman Irani,Himself,ACTOR,25
38636,tm854786,Boman Irani,Show judge #1,ACTOR,25
38636,tm473502,Boman Irani,Farokh Engineer,ACTOR,25
38632,tm67635,Shah Rukh Khan,Rahul Khanna,ACTOR,23
38632,tm55100,Shah Rukh Khan,Amarkanth Varma,ACTOR,23
